Newport,Newport,BayArea,BayArea,Newport,BayArea
Fst_hist,Fst_Mod,Fst_hist,Fst_Mod,deltaFst,deltaFst
-0.03982684,0,-0.022235458,0,0.03982684,0.022235458
-0.03982684,0,-0.022235458,0.014095238,0.03982684,0.036330696
-0.03982684,0.077647059,-0.022235458,0.014095238,0.117473899,0.036330696
-0.03982684,0.077647059,-0.022235458,-0.01826105,0.117473899,0.003974408
-0.03982684,0.012315271,-0.022235458,-0.01826105,0.052142111,0.003974408
-0.03982684,0.010351967,-0.022235458,0,0.050178807,0.022235458
-0.03982684,0.032286657,-0.022235458,0,0.072113497,0.022235458
-0.03982684,0.029333333,-0.022235458,0.016963649,0.069160173,0.039199107
-0.03982684,0.029333333,-0.022235458,0.016963649,0.069160173,0.039199107
-0.03982684,0,-0.022235458,0.016393443,0.03982684,0.038628901
-0.03982684,-0.01336675,-0.022235458,0.016393443,0.02646009,0.038628901
-0.03982684,0,-0.022235458,-0.023255814,0.03982684,-0.001020356
-0.03982684,0,-0.022235458,-0.023255814,0.03982684,-0.001020356
-0.03982684,0,-0.022235458,0,0.03982684,0.022235458
-0.03982684,0,-0.022235458,0,0.03982684,0.022235458
-0.03982684,0.016,-0.022235458,0,0.05582684,0.022235458
-0.03982684,0,-0.022235458,0,0.03982684,0.022235458
-0.03982684,0,-0.022235458,-0.021516393,0.03982684,0.000719065
-0.03982684,0.08,-0.022235458,-0.021516393,0.11982684,0.000719065
-0.03982684,0.08,-0.022235458,-0.023255814,0.11982684,-0.001020356
-0.03982684,-0.040035939,-0.022235458,-0.023255814,-0.000209099,-0.001020356
-0.03982684,-0.040035939,-0.022235458,0.08,-0.000209099,0.102235458
-0.03982684,0.051351351,-0.022235458,-0.02827718,0.091178191,-0.006041722
-0.03982684,0,-0.022235458,-0.02827718,0.03982684,-0.006041722
-0.03982684,0.092631579,-0.022235458,0.016393443,0.132458419,0.038628901
-0.03982684,0.092631579,-0.022235458,0.016393443,0.132458419,0.038628901
-0.03982684,0.04,-0.022235458,0,0.07982684,0.022235458
-0.03982684,-0.033939394,-0.022235458,0,0.005887446,0.022235458
-0.03982684,0.04,-0.022235458,0,0.07982684,0.022235458
-0.03982684,0.04,-0.022235458,0.04,0.07982684,0.062235458
-0.03982684,-0.042770563,-0.022235458,0.015405886,-0.002943723,0.037641344
-0.03982684,-0.042770563,-0.022235458,-0.01826105,-0.002943723,0.003974408
-0.03982684,-0.003636364,-0.022235458,-0.01826105,0.036190476,0.003974408
-0.03982684,-0.003636364,-0.022235458,0,0.036190476,0.022235458
-0.03982684,0.026666667,-0.022235458,0,0.066493507,0.022235458
-0.03982684,0.026666667,-0.022235458,0.032786885,0.066493507,0.055022343
-0.03982684,-0.043478261,-0.022235458,0.032786885,-0.003651421,0.055022343
-0.03982684,-0.031464738,-0.022235458,0,0.008362102,0.022235458
-0.03982684,-0.031464738,-0.022235458,0.04,0.008362102,0.062235458
-0.03982684,0,-0.022235458,0.04,0.03982684,0.062235458
-0.03982684,0,-0.022235458,0,0.03982684,0.022235458
-0.03982684,0,-0.022235458,0,0.03982684,0.022235458
-0.03982684,0,-0.022235458,0,0.03982684,0.022235458
-0.03982684,0.074285714,-0.022235458,0,0.114112554,0.022235458
-0.03982684,0.074285714,-0.022235458,0.005581395,0.114112554,0.027816853
-0.03982684,0.16,-0.022235458,0.005581395,0.19982684,0.027816853
-0.03982684,0.16,-0.022235458,0,0.19982684,0.022235458
-0.03982684,0.031746032,-0.022235458,0,0.071572872,0.022235458
-0.03982684,0.031746032,-0.022235458,-0.028614009,0.071572872,-0.006378551
-0.03982684,0.095238095,-0.022235458,0.033025335,0.135064935,0.055260793
-0.03982684,0.095238095,-0.02217481,-0.004759387,0.135064935,0.017415423
-0.03982684,0,-0.022154196,0.073169676,0.03982684,0.095323872
-0.03982684,0,-0.022154196,0.073169676,0.03982684,0.095323872
-0.03982684,0.08,-0.022154196,0.018266979,0.11982684,0.040421175
-0.03982684,0.08,-0.022112352,0.081967213,0.11982684,0.104079565
